Car Brand,Car Model,Model Year,Car Price (in $),Car Mileage (in miles)
INFINITI,QX60,2019,34998,30065
Nissan,LEAF,2021,37590,11725
Nissan,Titan,2017,34999,76506
Nissan,Rogue,2019,14445,169206
Mercedes-Benz,GLE,2020,46900,46009
Ferrari,612 Scaglietti,2005,99995,15104
Mercedes-Benz,GLE,2020,49900,34772
Mercedes-Benz,GLC,2022,49785,2825
Ford,Escape,2019,16495,125438
Nissan,Rogue,2020,19995,40842
Mercedes-Benz,C-Class,2019,33900,16650
Mercedes-Benz,GLS,2019,49900,31501
Mercedes-Benz,GLC,2022,49910,5970
Mercedes-Benz,GLC,2022,50385,5710
Mercedes-Benz,GLC,2022,50135,6137
Mercedes-Benz,GLE,2020,49900,35750
Mercedes-Benz,GLC,2022,50385,2569
Mercedes-Benz,C-Class,2019,34900,14717
Lexus,RX,2019,34569,53325
Mercedes-Benz,C-Class,2019,34900,17670
Mercedes-Benz,GLS,2019,53969,15412
Mercedes-Benz,A-Class,2019,28969,27840
Porsche,Cayenne,2019,65995,15983
Mercedes-Benz,C-Class,2019,34900,17548
Toyota,Corolla,2013,12995,60390
Porsche,Cayenne,2019,63995,25852
Mercedes-Benz,GLC,2022,49985,6510
Toyota,Corolla,2020,21269,25867
Toyota,FJ Cruiser,2008,15995,127369
Lexus,ES,2019,35069,9276
Chevrolet,Equinox,2019,25987,18810
Chrysler,Pacifica,2019,25495,20264
Nissan,Rogue,2019,23488,19124
Lexus,RX,2019,37569,35740
Lexus,NX,2019,33569,15426
Audi,A8,2019,56269,23302
Mercedes-Benz,C-Class,2019,38900,22099
Lexus,ES,2018,31969,10064
Honda,Civic,2013,12995,63361
Nissan,Rogue,2016,16788,54896
Nissan,Altima,2020,19495,23167
Bentley,Continental Supersports,2018,209995,10866
Toyota,Corolla,2020,19797,61483
Jeep,Grand Cherokee,2019,28995,42068
Mercedes-Benz,GLE,2020,52900,30830
Mercedes-Benz,GLA,2019,30995,27086
Lexus,RX,2012,16069,118329
